timestamp,cripto,moeda_base,preco
2025-05-30 20:28:34.135479,ethereum,usd,2527.4
2025-05-30 20:28:34.135479,ethereum,eur,2227.25
2025-05-30 20:28:34.135479,solana,brl,896.83
2025-05-30 20:28:34.135479,solana,usd,156.65
2025-05-30 20:28:34.135479,solana,eur,138.05
2025-05-30 20:29:34.355900,bitcoin,brl,595866.0
2025-05-30 20:29:34.355900,bitcoin,usd,104081.0
2025-05-30 20:29:34.355900,bitcoin,eur,91721.0
2025-05-30 20:29:34.355900,ethereum,brl,14469.38
2025-05-30 20:29:34.355900,ethereum,usd,2527.4
2025-05-30 20:29:34.355900,ethereum,eur,2227.25
2025-05-30 20:29:34.355900,solana,brl,896.83
2025-05-30 20:29:34.355900,solana,usd,156.65
2025-05-30 20:29:34.355900,solana,eur,138.05
2025-05-30 20:30:34.629042,bitcoin,brl,595734.0
2025-05-30 20:30:34.629042,bitcoin,usd,104058.0
2025-05-30 20:30:34.629042,bitcoin,eur,91700.0
2025-05-30 20:30:34.629042,ethereum,brl,14463.51
2025-05-30 20:30:34.629042,ethereum,usd,2526.38
2025-05-30 20:30:34.629042,ethereum,eur,2226.34
2025-05-30 20:30:34.629042,solana,brl,895.96
2025-05-30 20:30:34.629042,solana,usd,156.5
2025-05-30 20:30:34.629042,solana,eur,137.91
2025-05-30 20:31:35.137712,bitcoin,brl,595736.0
2025-05-30 20:31:35.137712,bitcoin,usd,104059.0
2025-05-30 20:31:35.137712,bitcoin,eur,91701.0
2025-05-30 20:31:35.137712,ethereum,brl,14462.38
2025-05-30 20:31:35.137712,ethereum,usd,2526.18
2025-05-30 20:31:35.137712,ethereum,eur,2226.17
2025-05-30 20:31:35.137712,solana,brl,896.11
2025-05-30 20:31:35.137712,solana,usd,156.53
2025-05-30 20:31:35.137712,solana,eur,137.94
2025-05-30 20:32:35.243224,bitcoin,brl,595736.0
2025-05-30 20:32:35.243224,bitcoin,usd,104059.0
2025-05-30 20:32:35.243224,bitcoin,eur,91701.0
2025-05-30 20:32:35.243224,ethereum,brl,14462.38
2025-05-30 20:32:35.243224,ethereum,usd,2526.18
2025-05-30 20:32:35.243224,ethereum,eur,2226.17
2025-05-30 20:32:35.243224,solana,brl,896.11
2025-05-30 20:32:35.243224,solana,usd,156.53
2025-05-30 20:32:35.243224,solana,eur,137.94
2025-05-30 20:33:35.510412,bitcoin,brl,595651.0
2025-05-30 20:33:35.510412,bitcoin,usd,104044.0
2025-05-30 20:33:35.510412,bitcoin,eur,91688.0
2025-05-30 20:33:35.510412,ethereum,brl,14455.06
2025-05-30 20:33:35.510412,ethereum,usd,2524.9
2025-05-30 20:33:35.510412,ethereum,eur,2225.04
2025-05-30 20:33:35.510412,solana,brl,896.0
2025-05-30 20:33:35.510412,solana,usd,156.51
2025-05-30 20:33:35.510412,solana,eur,137.92
2025-05-30 20:34:35.613823,bitcoin,brl,595651.0
2025-05-30 20:34:35.613823,bitcoin,usd,104044.0
2025-05-30 20:34:35.613823,bitcoin,eur,91688.0
2025-05-30 20:34:35.613823,ethereum,brl,14455.06
2025-05-30 20:34:35.613823,ethereum,usd,2524.9
2025-05-30 20:34:35.613823,ethereum,eur,2225.04
2025-05-30 20:34:35.613823,solana,brl,896.0
2025-05-30 20:34:35.613823,solana,usd,156.51
2025-05-30 20:34:35.613823,solana,eur,137.92
2025-05-30 20:35:36.151167,bitcoin,brl,595464.0
2025-05-30 20:35:36.151167,bitcoin,usd,104011.0
2025-05-30 20:35:36.151167,bitcoin,eur,91659.0
2025-05-30 20:35:36.151167,ethereum,brl,14449.47
2025-05-30 20:35:36.151167,ethereum,usd,2523.93
2025-05-30 20:35:36.151167,ethereum,eur,2224.18
2025-05-30 20:35:36.151167,solana,brl,895.61
2025-05-30 20:35:36.151167,solana,usd,156.44
2025-05-30 20:35:36.151167,solana,eur,137.86
2025-05-30 20:36:36.303463,bitcoin,brl,595464.0
2025-05-30 20:36:36.303463,bitcoin,usd,104011.0
2025-05-30 20:36:36.303463,bitcoin,eur,91659.0
2025-05-30 20:36:36.303463,ethereum,brl,14449.47
2025-05-30 20:36:36.303463,ethereum,usd,2523.93
2025-05-30 20:36:36.303463,ethereum,eur,2224.18
2025-05-30 20:36:36.303463,solana,brl,895.61
2025-05-30 20:36:36.303463,solana,usd,156.44
2025-05-30 20:36:36.303463,solana,eur,137.86
2025-05-30 20:37:36.581110,bitcoin,brl,595496.0
2025-05-30 20:37:36.581110,bitcoin,usd,104017.0
2025-05-30 20:37:36.581110,bitcoin,eur,91664.0
2025-05-30 20:37:36.581110,ethereum,brl,14443.99
2025-05-30 20:37:36.581110,ethereum,usd,2522.97
2025-05-30 20:37:36.581110,ethereum,eur,2223.34
2025-05-30 20:37:36.581110,solana,brl,895.88
2025-05-30 20:37:36.581110,solana,usd,156.49
2025-05-30 20:37:36.581110,solana,eur,137.9
2025-05-30 20:38:36.698398,bitcoin,brl,595496.0
2025-05-30 20:38:36.698398,bitcoin,usd,104017.0
2025-05-30 20:38:36.698398,bitcoin,eur,91664.0
2025-05-30 20:38:36.698398,ethereum,brl,14443.99
2025-05-30 20:38:36.698398,ethereum,usd,2522.97
2025-05-30 20:38:36.698398,ethereum,eur,2223.34
2025-05-30 20:38:36.698398,solana,brl,895.88
2025-05-30 20:38:36.698398,solana,usd,156.49
2025-05-30 20:38:36.698398,solana,eur,137.9
2025-05-30 20:39:36.989882,bitcoin,brl,595358.0
2025-05-30 20:39:36.989882,bitcoin,usd,103993.0
2025-05-30 20:39:36.989882,bitcoin,eur,91643.0
2025-05-30 20:39:36.989882,ethereum,brl,14443.99
2025-05-30 20:39:36.989882,ethereum,usd,2522.97
2025-05-30 20:39:36.989882,ethereum,eur,2223.34
2025-05-30 20:39:36.989882,solana,brl,895.54
2025-05-30 20:39:36.989882,solana,usd,156.43
2025-05-30 20:39:36.989882,solana,eur,137.85
2025-05-30 20:40:37.087110,bitcoin,brl,595358.0
2025-05-30 20:40:37.087110,bitcoin,usd,103993.0
2025-05-30 20:40:37.087110,bitcoin,eur,91643.0
2025-05-30 20:40:37.087110,ethereum,brl,14443.99
2025-05-30 20:40:37.087110,ethereum,usd,2522.97
2025-05-30 20:40:37.087110,ethereum,eur,2223.34
2025-05-30 20:40:37.087110,solana,brl,895.54
2025-05-30 20:40:37.087110,solana,usd,156.43
2025-05-30 20:40:37.087110,solana,eur,137.85
2025-05-30 20:41:37.391051,bitcoin,brl,595335.0
2025-05-30 20:41:37.391051,bitcoin,usd,103989.0
2025-05-30 20:41:37.391051,bitcoin,eur,91639.0
2025-05-30 20:41:37.391051,ethereum,brl,14442.41
2025-05-30 20:41:37.391051,ethereum,usd,2522.69
2025-05-30 20:41:37.391051,ethereum,eur,2223.1
2025-05-30 20:41:37.391051,solana,brl,895.45
2025-05-30 20:41:37.391051,solana,usd,156.41
2025-05-30 20:41:37.391051,solana,eur,137.84
2025-05-30 20:42:37.531291,bitcoin,brl,595335.0
2025-05-30 20:42:37.531291,bitcoin,usd,103989.0
2025-05-30 20:42:37.531291,bitcoin,eur,91639.0
2025-05-30 20:42:37.531291,ethereum,brl,14442.41
2025-05-30 20:42:37.531291,ethereum,usd,2522.69
2025-05-30 20:42:37.531291,ethereum,eur,2223.1
2025-05-30 20:42:37.531291,solana,brl,895.45
2025-05-30 20:42:37.531291,solana,usd,156.41
2025-05-30 20:42:37.531291,solana,eur,137.84
2025-05-30 20:43:37.843433,bitcoin,brl,595243.0
2025-05-30 20:43:37.843433,bitcoin,usd,103973.0
2025-05-30 20:43:37.843433,bitcoin,eur,91625.0
2025-05-30 20:43:37.843433,ethereum,brl,14444.26
